contigName	bin	contigLen	totalAvgDepth	L1.sorted.bam	L1.sorted.bam-var	L2.sorted.bam	L2.sorted.bam-var	L3.sorted.bam	L3.sorted.bam-var	P1.sorted.bam	P1.sorted.bam-var	P2.sorted.bam	P2.sorted.bam-var	P3.sorted.bam	P3.sorted.bam-var
NODE_1306_length_9108_cov_29.1259_ID_23958679	3	9108	4.50112	0	0	0.0673141	0.0627869	0.0177495	0.0174416	0.804309	0.920167	2.05414	1.82303	1.5576	1.69977
NODE_1309_length_9082_cov_274.196_ID_23958859	2	9082	196.774	39.3953	46.4782	42.0353	42.4085	40.3665	64.5828	24.0642	27.4141	25.6577	22.0015	25.2553	26.7552
NODE_1316_length_9036_cov_27.0781_ID_23959132	3	9036	4.48447	0	0	0.0338735	0.0327299	0.0674094	0.0874087	0.771326	0.820842	2.24668	1.97497	1.36518	1.50506
NODE_1317_length_9033_cov_381.23_ID_23980793	2	9033	201.367	42.3724	117.078	41.386	108.385	41.8343	85.0925	24.2197	62.1649	25.4568	58.8036	26.0973	56.4482
NODE_1318_length_9033_cov_306.744_ID_23921486	2	9033	204.064	42.2829	65.2578	43.4009	50.7152	42.5388	83.7017	23.7851	34.0863	25.393	30.5868	26.6635	28.0015
NODE_13216_length_2896_cov_59.5618_ID_23930237	3	2896	5.5528	0	0	0	0	0	0	1.2469	1.24247	2.56628	2.97579	1.73962	2.35952
NODE_13235_length_2895_cov_28.7641_ID_32056715	3	2895	2.18543	0.0546448	0.0516779	0.0550091	0.0519984	0	0	0.219672	0.277895	1.3286	1.69225	0.527505	0.543082
NODE_13251_length_2894_cov_284.576_ID_24138216	2	2894	202.483	41.898	221.427	41.9789	204.049	42.8251	231.019	22.6046	52.4539	26.0434	62.832	27.1327	117.491
NODE_1327_length_8989_cov_29.0012_ID_23999474	3	8989	4.59848	0.0682204	0.0635722	0	0	0	0	0.408983	0.345608	2.56307	2.36375	1.55821	1.96238
NODE_1328_length_8987_cov_28.0402_ID_23958981	3	8987	4.27453	0.0340613	0.0329048	0	0	0	0	0.554713	0.471996	2.21829	2.22247	1.46747	1.66681
NODE_1334_length_8916_cov_273.521_ID_23960219	2	8916	197.382	39.2607	51.0847	42.9743	66.2903	40.4706	42.5756	23.8696	26.6447	25.7696	23.4539	25.0372	25.5012
NODE_1336_length_8901_cov_331.013_ID_32362832	2	8901	219.145	47.0685	51.289	45.0373	49.3387	44.3312	64.5395	25.3745	26.2263	27.8434	34.3163	29.4902	33.0364
NODE_133_length_44887_cov_29.0818_ID_31995003	3	44887	4.51881	0.027494	0.0294477	0.0262423	0.0316794	0.0283881	0.0285618	0.668529	0.631162	2.31826	2.4924	1.4499	1.64515
NODE_134_length_44786_cov_24.6982_ID_23908502	5	44786	4.22957	0.950892	1.04962	0.91238	0.8787	1.00152	0.992159	0.520365	0.54183	0.216014	0.24046	0.628394	0.594891
NODE_13551_length_2866_cov_31.354_ID_24716052	3	2866	4.69514	0	0	0	0	0	0	0.665317	0.499721	2.55707	1.98241	1.47275	1.31304
NODE_1356_length_8807_cov_25.4439_ID_24036484	3	8807	3.99099	0	0	0.034654	0.0334542	0	0	0.485619	0.466344	1.97066	2.66591	1.50006	1.57097
NODE_13624_length_2860_cov_271.494_ID_24134794	2	2860	202.375	38.797	21.7956	45.5734	34.805	42.5605	30.5217	25.3354	20.3913	27.1022	25.5817	23.0066	16.6127
NODE_1365_length_8785_cov_31.9959_ID_24056974	3	8785	4.98251	0.0413434	0.0637294	0.0422698	0.0404983	0	0	0.856862	1.20311	2.34186	3.33387	1.70017	2.06167
NODE_1367_length_8781_cov_266.127_ID_32550615	2	8781	199.765	40.1203	49.5749	39.7108	44.7514	42.8325	53.2037	24.7008	23.1735	26.3261	29.6062	26.0742	25.9848
NODE_1369_length_8778_cov_28.5643_ID_23961975	3	8778	4.74803	0	0	0.0348864	0.0336744	0	0	0.993625	1.0762	2.66261	2.91082	1.05691	1.03968
NODE_136_length_44276_cov_28.9039_ID_23952665	3	44276	4.33753	0.0340842	0.0329594	0.0355799	0.0352091	0.00684404	0.00680853	0.625482	0.537076	2.05999	2.30215	1.57556	1.51757
NODE_1381_length_8725_cov_339.215_ID_23970385	2	8725	204.372	41.1349	81.1138	40.9922	75.9019	42.8204	76.3101	25.5506	47.8332	26.5118	49.2949	27.3619	51.4267
NODE_139_length_43587_cov_27.3883_ID_23950433	3	43587	4.55998	0.00692958	0.00688549	0.0277413	0.0269708	0.0206966	0.0202681	0.680871	0.651884	2.36331	2.83705	1.46044	1.61606
NODE_13_length_350638_cov_27.7245_ID_23902421	6	350638	4.57964	1.24029	1.35076	1.00123	1.01017	1.16641	1.27125	0.012825	0.0141413	0.395052	0.410347	0.763832	0.789897
NODE_140_length_43129_cov_271.943_ID_32135567	2	43129	203.041	41.8403	53.3229	41.4855	52.617	42.7004	52.6486	24.8148	26.9204	25.7358	26.4123	26.4644	36.0945
NODE_1414_length_8582_cov_375.937_ID_23968917	2	8582	221.204	43.5464	107.781	45.5563	138.647	47.9348	123.521	26.327	48.8196	28.1244	92.7678	29.7149	54.9849
NODE_141_length_43047_cov_268.928_ID_32099899	2	43047	201.466	41.4338	58.9631	42.1425	53.1906	41.5395	47.4606	24.1298	26.4119	25.7523	30.6573	26.4682	34.2594
NODE_142_length_43046_cov_30.8745_ID_32063820	3	43046	4.56677	0	0	0.0321708	0.04524	0.0145468	0.0143306	0.753497	0.815853	2.20359	1.97192	1.56297	1.68726
NODE_1430_length_8510_cov_30.2078_ID_23965458	3	8510	5.27691	0	0	0.0357656	0.0426269	0	0	0.522488	0.458623	2.80155	2.77109	1.91711	2.51761
NODE_1443_length_8450_cov_278.951_ID_32566147	2	8450	216.456	44.909	48.047	45.7424	41.6826	45.1429	38.2573	24.7457	29.1605	27.5916	21.5875	28.3248	20.0985
NODE_144_length_42481_cov_26.0826_ID_23914329	6	42481	4.32492	1.13272	1.08927	0.990149	1.02418	1.10163	1.20196	0.00385061	0.00478126	0.325719	0.331387	0.770854	0.73384
NODE_1450_length_8431_cov_28.0135_ID_23976678	3	8431	4.77527	0	0	0	0	0	0	0.72612	0.924289	2.4136	2.99117	1.63555	2.00121
NODE_14510_length_2785_cov_54.2484_ID_32540805	5	2785	8.32676	2.22391	2.62035	1.18292	0.779729	2.51992	2.09401	0.605693	0.658054	0.342315	0.249521	1.45199	2.1263
NODE_14532_length_2783_cov_693.723_ID_25365372	2	2783	224.416	47.7417	447.572	46.2241	276.456	45.5982	288.148	25.1846	147.275	29.9772	97.2622	29.6901	95.8627
NODE_14534_length_2783_cov_446.266_ID_24171792	2	2783	227.417	45.9263	104.509	44.8997	123.316	47.8124	126.486	29.6867	69.6616	30.3338	52.9208	28.7577	46.3276
